name,cr,type,size,ac,hp,align,legendary,str,dex,con,int,wis,cha,Action,Speed_Scraped,Skill,XP
ancient-gold-dragon,24,dragon,Gargantuan,22,546,lawful good,Legendary,30,14,29,18,17,28,"Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.Bite. Melee Weapon Attack: +17 to hit, reach 15 ft., one target. Hit: 21 (2d10 + 10) piercing damage.Claw. Melee Weapon Attack: +17 to hit, reach 10 ft., one target. Hit: 17 (2d6 + 10) slashing damage.Tail. Melee Weapon Attack: +17 to hit, reach 20 ft., one target. Hit: 19 ","40 ft., fly 80 ft., swim 40 ft.","Insight +10, Perception +17, Persuasion +16, Stealth +9",62000
ancient-green-dragon,22,dragon,Gargantuan,21,385,lawful evil,Legendary,27,12,25,20,17,19,"Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.Bite. Melee Weapon Attack: +15 to hit, reach 15 ft., one target. Hit: 19 (2d10 + 8) piercing damage plus 10 (3d6) poison damage.Claw. Melee Weapon Attack: +15 to hit, reach 10 ft., one target. Hit: 22 (4d6 + 8) slashing damage.Tail. Melee Weapon Attack: +15 to hit, reach 20","40 ft., fly 80 ft., swim 40 ft.","Deception +11, Insight +10, Perception +17, Persuasion +11, Stealth +8",41000
ancient-red-dragon,24,dragon,Gargantuan,22,546,chaotic evil,Legendary,30,10,29,18,15,23,"Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.Bite. Melee Weopon Attack: +17 to hit, reach 15 ft., one target. Hit: 21 (2d10 + 10) piercing damage plus 14 (4d6) fire damage.Claw. Melee Weapon Attack: +17 to hit, reach 10 ft., one target. Hit: 17 (2d6 + 10) slashing damage.Tail. Melee Weapon Attack: +17 to hit, reach 20","40 ft., climb 40 ft., fly 80 ft.","Perception +16, Stealth +7",62000
ancient-shadow,1,undead,Medium,13,32,chaotic evil,,6,16,14,6,10,8,"Strength Drain. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 10 (2d6 + 3) necrotic damage, and the target's Strength score is reduced by 1d4. The target dies if this reduces its Strength to 0. Otherwise, the reduction lasts until the target finishes a short or long rest. If a non-evil humanoid dies from this attack, a new shadow (CR 1/2) rises from the corpse 1d2 hours later.Ext",40 ft.,Stealth +5 (+7 in dim light or darkness),200
ancient-silver-dragon,23,dragon,Gargantuan,22,487,lawful good,Legendary,30,10,29,18,15,23,"Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.Bite. Melee Weapon Attack: +17 to hit, reach 15 ft., one target. Hit: 21 (2d10 + 10) piercing damage.Claw. Melee Weapon Attack: +17 to hit, reach 10 ft., one target. Hit: 17 (2d6 + 10) slashing damage.Tail. Melee Weapon Attack: +17 to hit, reach 20 ft., one target. Hit: 19 ","40 ft., fly 80 ft.","Arcana +11, History +11, Perception +16, Stealth +7",50000
ancient-white-dragon,20,dragon,Gargantuan,20,333,chaotic evil,Legendary,26,10,26,10,13,14,"Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.Bite. Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: 19 (2d10 + 8) piercing damage plus 9 (2d8) cold damage.Claw. Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 15 (2d6 + 8) slashing damage.Tail. Melee Weapon Attack: +14 to hit, reach 20 ft","40 ft., burrow 40 ft., fly 80 ft., swim 40 ft.","Perception +13, Stealth +6",25000
androsphinx,17,monstrosity,Large,17,199,lawful neutral,Legendary,22,10,20,16,18,23,"Multiattack. The sphinx makes two claw attacks.Claw. Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 17 (2d10 + 6) slashing damage.Roar (3/Day). The sphinx emits a magical roar. Each time it roars before finishing a long rest, the roar is louder and the effect is different, as detailed below. Each creature within 500 feet of the sphinx and able to hear the roar must make a saving th","40 ft., fly 60 ft.","Arcana +9, Perception +10, Religion +15",18000
animated-armor,1,construct,Medium,18,33,unaligned,,14,11,13,1,3,1,"Multiattack. The armor makes two melee attacks.Slam. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) bludgeoning damage.This suit of magically animated plate armor clamors as it moves, banging and grinding like the vengeful spirit of a fallen knight.Monster Manual (SRD)",25 ft.,,200
ankheg,2,monstrosity,Large,14,39,unaligned,,17,11,13,1,13,6,"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage plus 3 (1d6) acid damage. If the target is a Large or smaller creature, it is grappled (escape DC 13). Until this grapple ends, the ankheg can bite only the grappled creature and has advantage on attack rolls to do so.Acid Spray (Recharge 6). The ankheg spits acid in a line that is 30 feet long and 5 f","30 ft., burrow 10 ft.",,450
ankylosaurus,3,beast,Huge,15,68,unaligned,,19,11,15,2,12,5,,30 ft.,,700
annis-hag,6,fey,Large,17,75,chaotic evil,,21,12,14,13,14,15,"Multiattack. The annis makes one Bite attack and two Claw attacks.Bite. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 15 (3d6 + 5) piercing damage.Claw. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 15 (3d6 + 5) slashing damage.Crushing Hug. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 36 (9d6 + 5) bludgeoning damage, and the target is grappled (esc",40 ft.,"Deception +5, Perception +5",2300
cockatrice,1,monstrosity,Small,11,27,unaligned,,6,12,12,2,13,5,"Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 3 (1d4 + 1) piercing damage, and the target must succeed on a DC 11 Constitution saving throw against being magically petrified. On a failed save, the creature begins to turn to stone and is restrained. It must repeat the saving throw at the end of its next turn. On a success, the effect ends. On a failure, the creature is petri","20 ft., fly 40 ft.",,100
mud-mephit,1,elemental,Small,11,27,neutral evil,,8,12,12,9,11,7,"Fists. Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 4 (1d6 + 1) bludgeoning damage.Mud Breath (Recharge 6). The mephit belches viscid mud onto one creature within 5 feet of it. If the target is Medium or smaller, it must succeed on a DC 11 Dexterity saving throw or be restrained for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effe","20 ft., fly 20 ft., swim 20 ft.",Stealth +3,50
archmage,12,humanoid (any race),Medium,12,99,any alignment,,10,14,12,20,15,16,"Dagger. Melee or Ranged Weapon Attack: +6 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage.Archmages are powerful (and usually quite old) spellcasters dedicated to the study of the arcane arts. Benevolent ones counsel kings and queens, while evil ones rule as tyrants and pursue lichdom. Those who are neither good nor evil sequester themselves in remote towers to",30 ft.,"Arcana +13, History +13",8400
assassin,8,humanoid (any race),Medium,15,78,any non-good alignment,,11,16,14,13,11,10,"Multiattack. The assassin makes two shortsword attacks.Shortsword. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage, and the target must make a DC 15 Constitution saving throw, taking 24 (7d6) poison damage on a failed save, or half as much damage on a successful one.Light Crossbow. Ranged Weapon Attack: +6 to hit, range 80/320 ft., one target. Hit: 7 (1d8 ",30 ft.,"Acrobatics +6, Deception +3, Perception +3, Stealth +9",3900
astral-dreadnought,21,monstrosity (titan),Gargantuan,20,297,unaligned,Legendary,28,7,25,5,14,18,"Multiattack. The dreadnought makes one Bite attack and two Claw attacks.Bite. Melee Weapon Attack: +16 to hit, reach 10 ft., one target. Hit: 36 (5d10 + 9) force damage. If the target is a Huge or smaller creature and this damage reduces it to 0 hit points or it is incapacitated, the dreadnought swallows it. The swallowed target, along with everything it is wearing and carrying, appears in an unoc","15 ft., fly 80 ft. (hover)",Perception +9,33000
aurochs,2,beast,Large,11,38,unaligned,,20,10,19,2,12,5,Gore.Monsters of the Multiverse,50 ft.,,450
awakened-shrub,0,plant,Small,9,10,unaligned,,3,8,11,10,10,6,,20 ft.,,10
awakened-tree,2,plant,Huge,13,59,unaligned,,19,6,15,10,10,7,"Slam. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 14 (3d6 + 4) bludgeoning damage.An awakened tree is an ordinary tree given sentience and mobility by magic.Monster Manual (SRD)",20 ft.,,450
rust-monster,1,monstrosity,Medium,14,27,unaligned,,13,12,13,2,13,6,"Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 5 (1d8 + 1) piercing damage.Antennae. The rust monster corrodes a nonmagical ferrous metal object it can see within 5 feet of it. If the object isn't being worn or carried, the touch destroys a 1-foot cube of it. If the object is being worn or carried by a creature, the creature can make a DC 11 Dexterity saving throw to avoid the",40 ft,,100
azer,2,elemental,Medium,17,39,lawful neutral,,17,12,15,12,13,10,"Warhammer. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) bludgeoning damage, or 8 (1d10 + 3) bludgeoning damage if used with two hands to make a melee attack, plus 3 (1d6) fire damage.Monster Manual (SRD)",30 ft.,,450
baboon,0,beast,Small,12,3,unaligned,,8,14,11,4,12,6,"Bite. Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 1 (1d4 - 1) piercing damage.Monster Manual (SRD)","30 ft., climb 30 ft.",,10
badger,0,beast,Tiny,10,3,unaligned,,4,11,12,2,12,5,"Bite. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 1 piercing damage.Monster Manual (SRD)","20 ft., burrow 5 ft.",,10
balor,19,fiend (demon),Huge,19,262,chaotic evil,,26,15,22,20,16,22,"Multiattack. The balor makes two attacks: one with its longsword and one with its whip.Longsword. Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 21 (3d8 + 8) slashing damage plus 13 (3d8) lightning damage. If the balor scores a critical hit, it rolls damage dice three times, instead of twice.Whip. Melee Weapon Attack: +14 to hit, reach 30 ft., one target. Hit: 15 (2d6 + 8) slashin","40 ft., fly 80 ft.",,22000
bandit-captain,2,humanoid (any race),Medium,15,65,any non-lawful alignment,,15,16,14,14,11,14,"Multiattack. The captain makes three melee attacks: two with its scimitar and one with its dagger. Or the captain makes two ranged attacks with its daggers.Scimitar. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.Dagger. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 5 (1d4 + 3) piercing damage.Parry. The captai",30 ft.,"Athletics +4, Deception +4",450
banshee,4,undead,Medium,12,58,chaotic evil,,1,14,10,12,11,17,"Corrupting Touch. Melee Spell Attack: +4 to hit, reach 5 ft., one target. Hit: 12 (3d6 + 2) necrotic damage.Horrifying Visage. Each non-undead creature within 60 feet of the banshee that can see her must succeed on a DC 13 Wisdom saving throw or be frightened for 1 minute. A frightened target can repeat the saving throw at the end of each of its turns, with disadvantage if the banshee is within li","0 ft., fly 40 ft. (hover)",,1100
barbed-devil,5,fiend (devil),Medium,15,110,lawful evil,,16,17,18,12,14,14,"Multiattack. The devil makes three melee attacks: one with its tail and two with its claws. Alternatively, it can use Hurl Flame twice.Claw. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage.Tail. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage.Hurl Flame. Ranged Spell Attack: +5 to hit, range 150 ft., one target. H",30 ft.,"Deception +5, Insight +5, Perception +8",1800
barghest,4,fiend (shapechanger),Large,17,90,neutral evil,,19,15,14,13,12,14,"Multiattack. The barghest makes one Bite attack and one Claw attack.Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) piercing damage.Claw. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) slashing damage.Spellcasting. The barghest casts one of the following spells, requiring no material components and using Charisma as the spellcasting abili",60 ft. (30 ft. in goblin form),"Deception +4, Intimidation +4, Perception +5, Stealth +4",1100
barlgura,5,fiend (demon),Large,15,68,chaotic evil,,18,15,16,7,14,9,"Multiattack. The barlgura makes three attacks: one with its bite and two with its fists.Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) piercing damage.Fist. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 9 (1d10 + 4) bludgeoning damage.Monster Manual (BR+)","40 ft., climb 40 ft.","Perception +5, Stealth +5",1800
basilisk,3,monstrosity,Medium,15,52,unaligned,,16,8,15,2,8,7,"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage plus 7 (2d6) poison damage.A basilisk is a multilegged, reptilian horror whose deadly gaze transforms victims into porous stone. With it strong jaws, the creature consumes this stone, which returns to organic form in its gullet.Monster Manual (SRD)",20 ft.,,700
bat,0,beast,Tiny,12,1,unaligned,,2,15,8,2,12,4,"Bite. Melee Weapon Attack: +0 to hit, reach 5 ft., one creature. Hit: 1 piercing damage.Monster Manual (SRD)","5 ft., fly 30 ft.",,10
bearded-devil,3,fiend (devil),Medium,13,52,lawful evil,,16,15,15,9,11,11,"Multiattack. The devil makes two attacks: one with its beard and one with its glaive.Beard. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 6 (1d8 + 2) piercing damage, and the target must succeed on a DC 12 Constitution saving throw or be poisoned for 1 minute. While poisoned in this way, the target can't regain hit points. The target can repeat the saving throw at the end of each",30 ft.,,700
behir,11,monstrosity,Huge,17,168,neutral evil,,23,16,18,7,14,12,"Multiattack. The behir makes two attacks: one with its bite and one to constrict.Bite. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 22 (3d10 + 6) piercing damage.Constrict. Melee Weapon Attack: +10 to hit, reach 5 ft., one Large or smaller creature. Hit: 17 (2d10 + 6) bludgeoning damage plus 17 (2d10 + 6) slashing damage. The target is grappled (escape DC 16) if the behir isn't ","50 ft., climb 40 ft.","Perception +6, Stealth +7",7200
berserker,2,humanoid (any race),Medium,13,67,any chaotic alignment,,16,12,17,9,11,9,"Greataxe. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 9 (1d12 + 3) slashing damage.Hailing from uncivilized lands, unpredictable berserkers come together in war parties and seek conflict wherever they can find it.Monster Manual (SRD)",30 ft.,,450
worg,1,monstrosity,Large,13,26,neutral evil,,16,13,13,7,11,8,"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone.A worg is a monstrous wolf-like predator that delights in hunting and devouring creatures weaker than itself.Monster Manual (SRD)",50 ft.,Perception +4,100
black-dragon-wyrmling,2,dragon,Medium,17,33,chaotic evil,,15,14,13,10,11,13,"Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10 + 2) piercing damage plus 2 (1d4) acid damage.Acid Breath (Recharge 5–6). The dragon exhales acid in a 15-foot line that is 5 feet wide. Each creature in that line must make a DC 11 Dexterity saving throw, taking 22 (5d8) acid damage on a failed save, or half as much damage on a successful one.Monster Manual (SRD)","30 ft., fly 60 ft., swim 30 ft.","Perception +4, Stealth +4",450
black-pudding,4,ooze,Large,7,85,unaligned,,16,5,16,1,6,1,"Pseudopod. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage plus 18 (4d8) acid damage. In addition, nonmagical armor worn by the target is partly dissolved and takes a permanent and cumulative -1 penalty to the AC it offers. The armor is destroyed if the penalty reduces its AC to 10.ReactionsSplit. When a pudding that is Medium or larger is subjected to ","20 ft., climb 20 ft.",,1100
swarm-of-rats,1,swarm of Tiny beasts,Medium,10,24,unaligned,,9,11,9,2,10,3,"Bites. Melee Weapon Attack: +2 to hit, reach 0 ft., one target in the swarm's space. Hit: 7 (2d6) piercing damage, or 3 (1d6) piercing damage if the swarm has half of its hit points or fewer.Monster Manual (SRD)",30 ft.,,50
swarm-of-ravens,1,swarm of Tiny beasts,Medium,12,24,unaligned,,6,14,8,3,12,6,"Beaks. Melee Weapon Attack: +4 to hit, reach 5 ft., one target in the swarm's space. Hit: 7 (2d6) piercing damage, or 3 (1d6) piercing damage if the swarm has half of its hit points or fewer.Monster Manual (SRD)","10 ft., fly 50 ft.",Perception +5,50
blue-dragon-wyrmling,3,dragon,Medium,17,52,lawful evil,,17,10,15,12,11,15,"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (1d10 + 3) piercing damage plus 3 (1d6) lightning damage.Lightning Breath (Recharge 5-6). The dragon exhales lightning in a 30-foot line that is 5 feet wide. Each creature in that line must make a DC 12 Dexterity saving throw, taking 22 (4d10) lightning damage on a failed save, or half as much damage on a successful one.Monster ","30 ft., burrow 15 ft., fly 60 ft.","Perception +4, Stealth +2",700
