key,file,score,flags,seconds,peak,rms,clip,tonal_ratio,pitch_stability,dominant_hz,attack_ratio
combat/spear_thrust,combat/spear_thrust_02.wav,1,pas d'attaque (nappe),1.5,0.944,0.179,0.0,0.0,0.214,0,0.43
combat/spear_thrust,combat/spear_thrust_03.wav,1,pas d'attaque (nappe),1.5,0.944,0.2359,0.0,0.034,0.172,0,1.53
combat/sword_swing,combat/sword_swing_01.wav,0,,2.0,0.944,0.0354,0.0,0.0,0.444,0,3255.16
combat/sword_swing,combat/sword_swing_02.wav,0,,2.0,0.944,0.0332,0.0,0.0,0.556,0,4418.07
combat/sword_swing,combat/sword_swing_03.wav,0,,2.0,0.944,0.0437,0.0,0.0,0.7,0,1995.58
combat/sword_swing,combat/sword_swing_04.wav,0,,2.0,0.944,0.0331,0.0,0.0,0.636,43,2944.57
combat/sword_swing,combat/sword_swing_05.wav,0,,2.0,0.943,0.0371,0.0,0.0,0.545,0,3252.21
combat/sword_swing,combat/sword_swing_06.wav,0,,2.0,0.944,0.0382,0.0,0.0,0.5,0,3092.45
combat/sword_unsheathe,combat/sword_unsheathe_01.wav,2,tonal (à vérifier) | pas d'attaque (nappe),2.5,0.944,0.125,0.0,0.907,0.374,172,0.97
combat/sword_unsheathe,combat/sword_unsheathe_02.wav,2,tonal (à vérifier) | pas d'attaque (nappe),2.5,0.942,0.1148,0.0,0.836,0.486,172,1.1
combat/sword_unsheathe,combat/sword_unsheathe_03.wav,2,tonal (à vérifier) | pas d'attaque (nappe),2.5,0.941,0.0942,0.0,0.64,0.463,172,0.54
combat/sword_unsheathe,combat/sword_unsheathe_04.wav,1,pas d'attaque (nappe),2.5,0.942,0.1145,0.0,0.248,0.299,172,0.76
combat/weapon_swish,combat/weapon_swish_01.wav,1,pas d'attaque (nappe),1.5,0.944,0.4095,0.0,0.0,0.118,172,1.0
combat/weapon_swish,combat/weapon_swish_02.wav,1,pas d'attaque (nappe),1.5,0.944,0.1495,0.0,0.0,0.194,301,0.41
combat/weapon_swish,combat/weapon_swish_03.wav,1,pas d'attaque (nappe),1.5,0.944,0.4726,0.0,0.0,0.176,0,1.0
combat/weapon_swish,combat/weapon_swish_04.wav,1,pas d'attaque (nappe),1.5,0.944,0.3659,0.0,0.0,0.231,0,0.42
dice/roll,dice/roll_06.mp3,5,SOUCOUPE (sifflement modulé 984 Hz),1.39,1.007,0.0592,4e-05,1.0,0.222,984,111.77
dice/roll,dice/roll_07.mp3,5,SOUCOUPE (sifflement modulé 984 Hz),1.39,1.007,0.0592,4e-05,1.0,0.222,984,111.77
dice/roll,dice/roll_08.mp3,5,SOUCOUPE (sifflement modulé 984 Hz),1.39,1.007,0.0592,4e-05,1.0,0.222,984,111.77
dice/roll,dice/roll_09.mp3,5,SOUCOUPE (sifflement modulé 984 Hz),1.39,1.007,0.0592,4e-05,1.0,0.222,984,111.77
dice/roll,dice/roll_10.mp3,5,SOUCOUPE (sifflement modulé 984 Hz),1.39,1.007,0.0592,4e-05,1.0,0.222,984,111.77
dice/roll,dice/roll_11.mp3,5,SOUCOUPE (sifflement modulé 984 Hz),1.39,1.007,0.0592,4e-05,1.0,0.222,984,111.77
dungeon/chains,dungeon/chains_01.wav,0,,3.0,0.944,0.0569,0.0,0.0,0.299,0,11.12
dungeon/chains,dungeon/chains_02.wav,0,,3.0,0.944,0.0673,0.0,0.0,0.436,0,28.49
dungeon/chains,dungeon/chains_03.wav,0,,3.0,0.943,0.0791,0.0,0.0,0.536,0,19.16
dungeon/chains,dungeon/chains_04.wav,0,,3.0,0.944,0.0573,0.0,0.0,0.521,0,7.96
dungeon/door,dungeon/door_01.wav,0,,3.0,0.944,0.1037,0.0,0.853,0.153,431,3.28
dungeon/door,dungeon/door_02.wav,0,,3.0,0.944,0.1249,0.0,0.773,0.153,861,8.63
dungeon/door,dungeon/door_03.wav,0,,3.0,0.944,0.1297,0.0,0.781,0.219,861,5.62
dungeon/door,dungeon/door_04.wav,0,,3.0,0.944,0.0878,0.0,0.782,0.173,431,5.87
dungeon/door,dungeon/door_05.wav,0,,3.0,0.944,0.1209,0.0,0.764,0.182,861,6.84
dungeon/door_slam,dungeon/door_slam_01.wav,0,,2.0,0.939,0.0569,0.0,0.536,0.286,86,1161.3
dungeon/door_slam,dungeon/door_slam_02.wav,0,,2.0,0.789,0.0677,0.0,0.621,0.414,43,795.74
dungeon/door_slam,dungeon/door_slam_03.wav,0,,2.0,0.882,0.054,0.0,0.643,0.393,43,431.37
dungeon/gate_metal,dungeon/gate_metal_01.wav,0,,3.5,0.944,0.1185,0.0,0.059,0.306,86,0.59
dungeon/gate_metal,dungeon/gate_metal_02.wav,0,,3.5,0.944,0.1172,0.0,0.11,0.26,86,2.0
dungeon/gate_metal,dungeon/gate_metal_03.wav,0,,3.5,0.944,0.0964,0.0,0.343,0.399,43,0.74
dungeon/gate_metal,dungeon/gate_metal_04.wav,0,,3.5,0.944,0.1034,0.0,0.343,0.275,86,2.56
dungeon/lever,dungeon/lever_01.wav,0,,3.0,0.943,0.0325,0.0,0.0,0.186,689,0.87
dungeon/lever,dungeon/lever_02.wav,0,,3.0,0.943,0.0265,0.0,0.0,0.087,732,0.91
dungeon/lever,dungeon/lever_03.wav,0,,3.0,0.944,0.0328,0.0,0.0,0.159,689,1.59
dungeon/mechanism_trap,dungeon/mechanism_trap_01.wav,0,,2.0,0.944,0.0179,0.0,0.0,0.167,3015,570.78
dungeon/mechanism_trap,dungeon/mechanism_trap_02.wav,0,,2.0,0.943,0.0207,0.0,0.0,0.2,0,422.04
dungeon/mechanism_trap,dungeon/mechanism_trap_03.wav,0,,2.0,0.944,0.0189,0.0,0.0,0.2,0,911.11
dungeon/mechanism_trap,dungeon/mechanism_trap_04.wav,0,,2.0,0.943,0.014,0.0,0.0,0.2,5512,453.58
dungeon/mechanism_trap,dungeon/mechanism_trap_05.wav,0,,2.0,0.943,0.0189,0.0,0.0,0.2,4910,623.18
dungeon/rubble_collapse,dungeon/rubble_collapse_01.wav,0,,3.5,0.944,0.1547,0.0,0.039,0.296,43,1.82
dungeon/rubble_collapse,dungeon/rubble_collapse_02.wav,0,,3.5,0.944,0.1207,0.0,0.179,0.312,43,2.19
dungeon/rubble_collapse,dungeon/rubble_collapse_03.wav,0,,3.5,0.944,0.1502,0.0,0.239,0.255,43,1.38
dungeon/rubble_collapse,dungeon/rubble_collapse_04.wav,0,,3.5,0.944,0.1455,0.0,0.203,0.314,43,2.31
dungeon/secret_passage,dungeon/secret_passage_01.wav,0,,4.0,0.943,0.0293,0.0,0.0,0.265,129,27.86
dungeon/secret_passage,dungeon/secret_passage_02.wav,0,,4.0,0.943,0.0275,0.0,0.0,0.324,86,268.58
dungeon/secret_passage,dungeon/secret_passage_03.wav,0,,4.0,0.943,0.0178,0.0,0.0,0.318,129,21.67
dungeon/stone_slab,dungeon/stone_slab_01.wav,0,,4.0,0.944,0.0772,0.0,0.012,0.28,129,79.6
dungeon/stone_slab,dungeon/stone_slab_02.wav,0,,4.0,0.944,0.0724,0.0,0.0,0.317,258,112.29
dungeon/stone_slab,dungeon/stone_slab_03.wav,0,,4.0,0.944,0.0821,0.0,0.0,0.387,258,69.36
dungeon/stone_slab,dungeon/stone_slab_04.wav,0,,4.0,0.944,0.0661,0.0,0.0,0.329,129,174.2
dungeon/torch_light,dungeon/torch_light_01.wav,0,,2.5,0.939,0.1975,0.0,0.995,0.439,86,0.86
dungeon/torch_light,dungeon/torch_light_02.wav,0,,2.5,0.942,0.1931,0.0,0.981,0.374,86,1.08
dungeon/torch_light,dungeon/torch_light_03.wav,0,,2.5,0.944,0.1415,0.0,0.925,0.393,86,0.84
dungeon/torch_light,dungeon/torch_light_04.wav,0,,2.5,0.942,0.1567,0.0,0.822,0.374,86,1.23
dungeon/water_drip,dungeon/water_drip_01.wav,0,,5.0,0.944,0.0335,0.0,0.0,0.088,2929,1.29
dungeon/water_drip,dungeon/water_drip_02.wav,0,,5.0,0.943,0.0275,0.0,0.0,0.161,2196,1.62
dungeon/water_drip,dungeon/water_drip_03.wav,0,,5.0,0.943,0.0552,0.0,0.0,0.104,2283,1.03
environment/battlefield_distant,environment/battlefield_distant_01.wav,0,,10.0,0.943,0.1631,0.0,1.0,0.578,0,5.58
environment/battlefield_distant,environment/battlefield_distant_02.wav,0,,10.0,0.943,0.1842,0.0,1.0,0.679,0,13.25
environment/battlefield_distant,environment/battlefield_distant_03.wav,0,,10.0,0.943,0.1504,0.0,1.0,0.5,0,7.24
environment/blizzard,environment/blizzard_01.wav,0,,10.0,0.944,0.133,0.0,0.0,0.243,689,0.99
environment/blizzard,environment/blizzard_02.wav,0,,10.0,0.944,0.1535,0.0,0.0,0.25,646,1.7
environment/blizzard,environment/blizzard_03.wav,0,,10.0,0.944,0.1705,0.0,0.0,0.214,646,0.86
environment/cave,environment/cave_01.wav,0,,10.0,0.944,0.0883,0.0,0.0,0.329,43,0.93
environment/cave,environment/cave_02.wav,0,,10.0,0.943,0.0773,0.0,0.007,0.414,0,2.91
environment/cave,environment/cave_03.wav,0,,10.0,0.944,0.0756,0.0,0.011,0.408,0,1.44
environment/city_night,environment/city_night_01.wav,0,,10.0,0.944,0.0579,0.0,0.095,0.228,43,1.97
environment/city_night,environment/city_night_02.wav,0,,10.0,0.944,0.0907,0.0,0.134,0.337,0,0.84
environment/city_night,environment/city_night_03.wav,0,,10.0,0.944,0.0534,0.0,0.084,0.287,0,4.33
environment/crypt,environment/crypt_01.wav,0,,10.0,0.944,0.2102,0.0,0.812,0.648,0,1.28
environment/crypt,environment/crypt_02.wav,0,,10.0,0.944,0.1112,0.0,0.0,0.554,0,2.21
environment/crypt,environment/crypt_03.wav,0,,10.0,0.944,0.1719,0.0,1.0,0.575,0,0.82
environment/fire_crackle,environment/fire_crackle_01.wav,0,,10.0,0.942,0.0142,0.0,0.0,0.186,129,0.39
environment/fire_crackle,environment/fire_crackle_02.wav,0,,10.0,0.942,0.0181,0.0,0.0,0.505,86,3.27
environment/fire_crackle,environment/fire_crackle_03.wav,0,,10.0,0.943,0.0215,0.0,0.0,0.132,86,1.03
environment/forest,environment/forest_01.wav,0,,10.0,0.944,0.0519,0.0,0.0,0.043,3531,1.52
environment/forest,environment/forest_02.wav,0,,10.0,0.944,0.0854,0.0,0.0,0.043,3488,0.26
environment/forest,environment/forest_03.wav,0,,10.0,0.944,0.0569,0.0,0.026,0.038,3531,0.36
environment/market_crowd,environment/market_crowd_01.wav,0,,10.0,0.944,0.1365,0.0,0.151,0.117,517,0.94
environment/market_crowd,environment/market_crowd_02.wav,0,,10.0,0.944,0.1135,0.0,0.274,0.106,560,0.62
environment/market_crowd,environment/market_crowd_03.wav,0,,10.0,0.944,0.1547,0.0,0.145,0.136,517,0.82
environment/night_crickets,environment/night_crickets_01.wav,0,,10.0,0.944,0.1429,0.0,0.0,0.314,0,1.07
environment/night_crickets,environment/night_crickets_02.wav,0,,10.0,0.944,0.0682,0.0,0.043,0.312,0,1.81
environment/night_crickets,environment/night_crickets_03.wav,0,,10.0,0.943,0.144,0.0,0.001,0.258,43,1.15
environment/rain,environment/rain_01.wav,0,,10.0,0.944,0.0819,0.0,0.0,0.713,0,1.48
environment/rain,environment/rain_02.wav,0,,10.0,0.944,0.1279,0.0,0.0,0.694,0,0.75
environment/rain,environment/rain_03.wav,0,,10.0,0.944,0.081,0.0,0.0,0.726,0,0.94
environment/river,environment/river_01.wav,0,,10.0,0.944,0.1019,0.0,0.0,0.403,0,0.68
environment/river,environment/river_02.wav,0,,10.0,0.944,0.0857,0.0,0.0,0.08,603,1.96
environment/river,environment/river_03.wav,0,,10.0,0.944,0.1296,0.0,0.0,0.07,517,0.7
environment/ship_deck,environment/ship_deck_01.wav,0,,10.0,0.943,0.1073,0.0,0.024,0.473,86,1.02
environment/ship_deck,environment/ship_deck_02.wav,0,,10.0,0.944,0.129,0.0,0.098,0.547,86,0.87
environment/ship_deck,environment/ship_deck_03.wav,0,,10.0,0.944,0.0797,0.0,0.078,0.514,86,1.37
environment/storm,environment/storm_01.wav,0,,10.0,0.944,0.1085,0.0,0.53,0.266,215,5.67
environment/storm,environment/storm_02.wav,0,,10.0,0.944,0.1269,0.0,0.541,0.267,215,6.1
environment/storm,environment/storm_03.wav,0,,10.0,0.944,0.1273,0.0,0.433,0.25,215,7.52
environment/swamp,environment/swamp_01.wav,0,,10.0,0.943,0.0827,0.0,0.0,0.464,0,1.95
environment/swamp,environment/swamp_02.wav,0,,10.0,0.944,0.1091,0.0,0.0,0.344,43,0.92
environment/swamp,environment/swamp_03.wav,0,,10.0,0.944,0.0895,0.0,0.0,0.395,43,2.13
environment/tavern_crowd,environment/tavern_crowd_01.wav,0,,10.0,0.944,0.1233,0.0,0.85,0.126,517,0.79
environment/tavern_crowd,environment/tavern_crowd_02.wav,0,,10.0,0.944,0.1356,0.0,0.807,0.118,560,0.71
environment/tavern_crowd,environment/tavern_crowd_03.wav,0,,10.0,0.944,0.0794,0.0,0.765,0.123,646,0.31
environment/tavern_quiet,environment/tavern_quiet_01.wav,0,,10.0,0.944,0.0143,0.0,0.438,0.188,129,0.44
environment/tavern_quiet,environment/tavern_quiet_02.wav,0,,10.0,0.944,0.0138,0.0,0.0,0.4,172,0.1
environment/tavern_quiet,environment/tavern_quiet_03.wav,0,,10.0,0.943,0.0108,0.0,0.5,0.25,86,0.02
environment/tavern_rowdy,environment/tavern_rowdy_01.wav,0,,10.0,0.944,0.1178,0.0,0.638,0.086,732,0.76
environment/tavern_rowdy,environment/tavern_rowdy_02.wav,0,,10.0,0.944,0.1274,0.0,0.661,0.088,646,0.83
environment/tavern_rowdy,environment/tavern_rowdy_03.wav,0,,10.0,0.944,0.1152,0.0,0.577,0.106,689,0.8
environment/temple_hall,environment/temple_hall_01.wav,0,,10.0,0.944,0.0281,0.0,0.439,0.211,258,5.31
environment/temple_hall,environment/temple_hall_02.wav,0,,10.0,0.943,0.0319,0.0,0.026,0.233,301,6.84
environment/temple_hall,environment/temple_hall_03.wav,0,,10.0,0.943,0.0135,0.0,0.267,0.3,474,18.67
environment/thunder_distant,environment/thunder_distant_01.wav,0,,6.0,0.944,0.0685,0.0,0.567,0.29,215,5.01
environment/thunder_distant,environment/thunder_distant_02.wav,0,,6.0,0.944,0.0851,0.0,0.538,0.193,215,5.5
environment/thunder_distant,environment/thunder_distant_03.wav,0,,6.0,0.944,0.0703,0.0,0.525,0.217,258,12.1
environment/wind,environment/wind_01.wav,0,,10.0,0.944,0.1351,0.0,0.507,0.18,646,8.67
environment/wind,environment/wind_02.wav,0,,10.0,0.944,0.141,0.0,0.128,0.154,646,4.5
environment/wind,environment/wind_03.wav,0,,10.0,0.944,0.1117,0.0,0.633,0.202,689,6.99
feedback/death_sting,feedback/death_sting_01.wav,1,tonal (à vérifier),3.0,0.944,0.1027,0.0,1.0,0.724,43,141.21
feedback/death_sting,feedback/death_sting_02.wav,1,tonal (à vérifier),3.0,0.944,0.1146,0.0,1.0,0.619,43,190.35
feedback/death_sting,feedback/death_sting_03.wav,1,tonal (à vérifier),3.0,0.944,0.1185,0.0,1.0,0.698,43,173.73
feedback/hurt_female,feedback/hurt_female_01.wav,0,,1.0,0.944,0.0845,0.0,0.0,0.333,0,1180.45
feedback/hurt_female,feedback/hurt_female_02.wav,0,,1.0,0.944,0.1351,0.0,0.0,0.189,0,982.09
feedback/hurt_female,feedback/hurt_female_03.wav,0,,1.0,0.944,0.1034,0.0,0.0,0.207,646,1438.37
feedback/hurt_female,feedback/hurt_female_04.wav,0,,1.0,0.944,0.1366,0.0,0.0,0.139,646,1278.03
feedback/hurt_male,feedback/hurt_male_01.wav,0,,1.0,0.944,0.1411,0.0,0.0,0.206,603,2209.32
feedback/hurt_male,feedback/hurt_male_02.wav,0,,1.0,0.944,0.1357,0.0,0.0,0.2,345,1358.87
feedback/hurt_male,feedback/hurt_male_03.wav,0,,1.0,0.944,0.1381,0.0,0.0,0.2,646,1100.71
feedback/hurt_male,feedback/hurt_male_04.wav,0,,1.0,0.944,0.1339,0.0,0.0,0.235,646,1356.6
feedback/level_up,feedback/level_up_01.wav,1,tonal (à vérifier),3.0,0.944,0.0994,0.0,0.863,0.471,474,95.3
feedback/level_up,feedback/level_up_02.wav,1,tonal (à vérifier),3.0,0.944,0.1022,0.0,0.833,0.765,258,83.9
feedback/level_up,feedback/level_up_03.wav,1,tonal (à vérifier),3.0,0.944,0.1244,0.0,0.904,0.232,517,51.32
feedback/level_up,feedback/level_up_04.wav,1,tonal (à vérifier),3.0,0.944,0.1454,0.0,0.832,0.272,215,36.89
feedback/low_health,feedback/low_health_01.wav,1,tonal (à vérifier),4.0,0.942,0.1109,0.0,1.0,0.566,0,0.81
feedback/low_health,feedback/low_health_02.wav,1,tonal (à vérifier),4.0,0.942,0.1084,0.0,1.0,0.562,0,0.71
feedback/low_health,feedback/low_health_03.wav,1,tonal (à vérifier),4.0,0.944,0.1124,0.0,1.0,0.731,0,1.01
feedback/quest_complete,feedback/quest_complete_01.wav,1,pas d'attaque (nappe),2.5,0.943,0.1149,0.0,0.061,0.701,86,0.85
feedback/quest_complete,feedback/quest_complete_02.wav,1,pas d'attaque (nappe),2.5,0.942,0.1219,0.0,0.009,0.648,86,0.99
feedback/quest_complete,feedback/quest_complete_03.wav,1,pas d'attaque (nappe),2.5,0.942,0.1077,0.0,0.099,0.657,86,0.75
feedback/quest_complete,feedback/quest_complete_04.wav,1,pas d'attaque (nappe),2.5,0.943,0.1211,0.0,0.023,0.617,86,1.5
feedback/xp_gain,feedback/xp_gain_01.wav,0,,1.0,0.943,0.0346,0.0,0.0,0.25,9862,556.82
feedback/xp_gain,feedback/xp_gain_02.wav,0,,1.0,0.943,0.0422,0.0,0.0,0.571,3704,420.36
feedback/xp_gain,feedback/xp_gain_03.wav,0,,1.0,0.944,0.0394,0.0,0.0,0.429,3187,361.72
footsteps/armor_march,footsteps/armor_march_01.wav,0,,3.5,0.944,0.057,0.0,0.385,0.303,86,2.3
footsteps/armor_march,footsteps/armor_march_02.wav,0,,3.5,0.944,0.0486,0.0,0.54,0.26,172,1.92
footsteps/armor_march,footsteps/armor_march_03.wav,0,,3.5,0.944,0.0641,0.0,0.396,0.302,172,1.88
footsteps/armor_march,footsteps/armor_march_04.wav,0,,3.5,0.944,0.0591,0.0,0.156,0.156,43,0.73
footsteps/grass,footsteps/grass_01.wav,0,,3.5,0.944,0.1638,0.0,0.225,0.493,43,0.94
footsteps/grass,footsteps/grass_02.wav,0,,3.5,0.943,0.1186,0.0,0.193,0.49,43,0.4
footsteps/grass,footsteps/grass_03.wav,1,tonal (à vérifier),3.5,0.943,0.1994,0.0,0.673,0.48,43,0.84
footsteps/grass,footsteps/grass_04.wav,0,,3.5,0.941,0.1575,0.0,0.316,0.509,43,1.31
footsteps/gravel,footsteps/gravel_01.wav,0,,3.5,0.943,0.0659,0.0,0.087,0.426,0,1.36
footsteps/gravel,footsteps/gravel_02.wav,0,,3.5,0.944,0.0568,0.0,0.017,0.417,0,1.21
footsteps/gravel,footsteps/gravel_03.wav,0,,3.5,0.944,0.0643,0.0,0.022,0.443,43,1.76
footsteps/gravel,footsteps/gravel_04.wav,0,,3.5,0.943,0.0588,0.0,0.007,0.396,0,1.39
footsteps/mud,footsteps/mud_01.wav,0,,3.5,0.944,0.0869,0.0,0.012,0.474,43,0.53
footsteps/mud,footsteps/mud_02.wav,0,,3.5,0.944,0.0435,0.0,0.006,0.479,43,0.94
footsteps/mud,footsteps/mud_03.wav,0,,3.5,0.943,0.0966,0.0,0.025,0.535,43,0.81
footsteps/run_dirt,footsteps/run_dirt_01.wav,0,,3.0,0.944,0.0435,0.0,0.065,0.587,0,1405.77
footsteps/run_dirt,footsteps/run_dirt_02.wav,0,,3.0,0.944,0.0361,0.0,0.0,0.345,0,687.33
footsteps/run_dirt,footsteps/run_dirt_03.wav,0,,3.0,0.944,0.0342,0.0,0.0,0.172,43,547.34
footsteps/run_stone,footsteps/run_stone_01.wav,0,,3.0,0.944,0.0403,0.0,0.0,0.2,388,711.03
footsteps/run_stone,footsteps/run_stone_02.wav,0,,3.0,0.944,0.0259,0.0,0.116,0.256,517,2576.75
footsteps/run_stone,footsteps/run_stone_03.wav,0,,3.0,0.944,0.033,0.0,0.139,0.278,474,1573.64
footsteps/snow,footsteps/snow_01.wav,0,,3.5,0.944,0.0953,0.0,0.039,0.329,43,2.44
footsteps/snow,footsteps/snow_02.wav,0,,3.5,0.944,0.0835,0.0,0.0,0.365,43,0.58
footsteps/snow,footsteps/snow_03.wav,0,,3.5,0.944,0.1052,0.0,0.004,0.45,43,1.08
footsteps/snow,footsteps/snow_04.wav,0,,3.5,0.944,0.1033,0.0,0.003,0.425,43,0.54
footsteps/stone,footsteps/stone_01.wav,0,,3.5,0.94,0.0807,0.0,0.007,0.518,43,2.03
footsteps/stone,footsteps/stone_02.wav,0,,3.5,0.943,0.0509,0.0,0.108,0.217,43,0.54
footsteps/stone,footsteps/stone_03.wav,0,,3.5,0.921,0.0636,0.0,0.045,0.399,43,1.01
footsteps/stone,footsteps/stone_04.wav,0,,3.5,0.941,0.0443,0.0,0.061,0.417,43,0.26
footsteps/water,footsteps/water_01.wav,0,,3.5,0.944,0.0639,0.0,0.0,0.071,904,0.84
footsteps/water,footsteps/water_02.wav,0,,3.5,0.944,0.0926,0.0,0.0,0.098,43,1.13
footsteps/water,footsteps/water_03.wav,0,,3.5,0.944,0.0753,0.0,0.0,0.107,43,1.0
footsteps/water,footsteps/water_04.wav,0,,3.5,0.944,0.0828,0.0,0.0,0.101,603,0.75
footsteps/wood,footsteps/wood_01.wav,0,,3.5,0.943,0.1091,0.0,0.478,0.621,0,1.16
footsteps/wood,footsteps/wood_02.wav,0,,3.5,0.944,0.0586,0.0,0.527,0.441,43,0.52
footsteps/wood,footsteps/wood_03.wav,1,tonal (à vérifier),3.5,0.944,0.0956,0.0,0.614,0.515,0,0.64
footsteps/wood,footsteps/wood_04.wav,0,,3.5,0.942,0.144,0.0,0.423,0.523,0,1.15
impacts/body_fall,impacts/body_fall_01.wav,0,,2.0,0.944,0.0372,0.0,0.0,0.094,947,1023.0
impacts/body_fall,impacts/body_fall_02.wav,0,,2.0,0.944,0.0323,0.0,0.0,0.167,1077,1186.6
